##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	Fcatanat_USPD16092508-N711-AK392_HV3JCCCXY_L6_1.fq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	149273644
Sequences flagged as poor quality	0
Sequence length	150
%GC	42
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.59716572605409	32.0	32.0	32.0	32.0	32.0
2	31.451645998539433	32.0	32.0	32.0	32.0	32.0
3	35.45323776647403	37.0	37.0	37.0	32.0	37.0
4	35.910910723128055	37.0	37.0	37.0	32.0	37.0
5	36.35343527890295	37.0	37.0	37.0	37.0	37.0
6	39.875124693814	41.0	41.0	41.0	37.0	41.0
7	40.001276896543104	41.0	41.0	41.0	37.0	41.0
8	40.03476276763231	41.0	41.0	41.0	37.0	41.0
9	40.001286710733744	41.0	41.0	41.0	37.0	41.0
10-14	39.98324881115651	41.0	41.0	41.0	37.0	41.0
15-19	40.00412000259068	41.0	41.0	41.0	37.0	41.0
20-24	40.00971450660104	41.0	41.0	41.0	37.0	41.0
25-29	39.87540118468603	41.0	41.0	41.0	37.0	41.0
30-34	39.74142592244884	41.0	41.0	41.0	37.0	41.0
35-39	39.70944457683367	41.0	41.0	41.0	37.0	41.0
40-44	39.599444428381474	41.0	41.0	41.0	37.0	41.0
45-49	39.54369818559531	41.0	41.0	41.0	37.0	41.0
50-54	39.482759529873874	41.0	41.0	41.0	37.0	41.0
55-59	39.44258355882302	41.0	41.0	41.0	37.0	41.0
60-64	39.36638916780245	41.0	41.0	41.0	37.0	41.0
65-69	39.28030168004742	41.0	41.0	41.0	37.0	41.0
70-74	39.2132820714151	41.0	41.0	41.0	37.0	41.0
75-79	38.765301839888096	41.0	40.2	41.0	34.0	41.0
80-84	39.028562929702446	41.0	41.0	41.0	37.0	41.0
85-89	38.93383968304546	41.0	41.0	41.0	32.0	41.0
90-94	38.81705154595141	41.0	41.0	41.0	32.0	41.0
95-99	38.70434909058695	41.0	41.0	41.0	32.0	41.0
100-104	38.59019699418606	41.0	41.0	41.0	32.0	41.0
105-109	38.53835447200579	41.0	41.0	41.0	32.0	41.0
110-114	38.40569877291935	41.0	41.0	41.0	32.0	41.0
115-119	38.29711146865283	41.0	41.0	41.0	32.0	41.0
120-124	38.15487393742461	41.0	41.0	41.0	32.0	41.0
125-129	37.97429389477489	41.0	41.0	41.0	32.0	41.0
130-134	37.74451909943325	41.0	37.0	41.0	27.0	41.0
135-139	37.47246100322975	41.0	37.0	41.0	27.0	41.0
140-144	37.11994566033371	41.0	37.0	41.0	24.0	41.0
145-149	36.73600450592605	41.0	37.0	41.0	22.0	41.0
150	36.564188069261576	41.0	37.0	41.0	22.0	41.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.25202834444748845
1101	2	0.13454589314403975
1101	3	-0.10559857073776158
1101	4	-0.26218217296503354
1101	5	-0.46383186695094736
1101	6	-0.09444045497306064
1101	7	-0.27965211320434946
1101	8	-0.4886338082862096
1101	9	0.04257132227956362
1101	10-14	-0.4486026939962642
1101	15-19	-0.25508630888971595
1101	20-24	-0.6636754930303397
1101	25-29	-0.5003704077959483
1101	30-34	-0.2998640838866038
1101	35-39	-0.3852682619607748
1101	40-44	-0.34684780906143686
1101	45-49	-0.5250248497999479
1101	50-54	-0.4594004230402078
1101	55-59	-0.39228133790538067
1101	60-64	-0.22515097618379087
1101	65-69	-0.5469105901526561
1101	70-74	-0.5218664740068348
1101	75-79	-0.41952703914252254
1101	80-84	-0.7102225857236633
1101	85-89	-0.37069906143550213
1101	90-94	-0.5119553083441062
1101	95-99	-0.3032496775711877
1101	100-104	-0.29922701184136
1101	105-109	-0.5298348777926805
1101	110-114	-0.5121299823297392
1101	115-119	-0.9877061474187698
1101	120-124	-0.8855417713918357
1101	125-129	-0.4324366435997149
1101	130-134	-0.2540457120211883
1101	135-139	-0.5437523811069838
1101	140-144	-0.7151261600263936
1101	145-149	-0.5103873237502228
1101	150	-0.5293702353707133
1102	1	0.04967981857123149
1102	2	0.11958903634950246
1102	3	0.12467058088433447
1102	4	0.35450425226764537
1102	5	0.0680114248175343
1102	6	0.10602359772180137
1102	7	0.018840948971195814
1102	8	0.10666411222771188
1102	9	0.25921409599207124
1102	10-14	0.03267507617174914
1102	15-19	0.01211341010181144
1102	20-24	0.11717807898833854
1102	25-29	0.07054183822113913
1102	30-34	0.14874243295825096
1102	35-39	0.015939102959478646
1102	40-44	0.08443821617017022
1102	45-49	0.1588736975046885
1102	50-54	0.20194133797007652
1102	55-59	0.22315389993667623
1102	60-64	0.191729963534236
1102	65-69	0.1622498678829487
1102	70-74	0.06857454084187253
1102	75-79	0.22232335785309942
1102	80-84	0.1778733161398307
1102	85-89	0.1494134545126613
1102	90-94	0.23614427253264125
1102	95-99	0.2584302854400633
1102	100-104	-0.04112739923430553
1102	105-109	0.21796693042087156
1102	110-114	0.10138231263248798
1102	115-119	0.2216245885956667
1102	120-124	0.19808675423802669
1102	125-129	0.22959189849994743
1102	130-134	0.2859524047826554
1102	135-139	0.15459959996604766
1102	140-144	0.1586571314999503
1102	145-149	0.31934233985501237
1102	150	0.42066441532943344
1103	1	0.04649954903733544
1103	2	0.1451657471922907
1103	3	0.19231944220884856
1103	4	0.3455110819276186
1103	5	0.11689201352004375
1103	6	0.13402397774948582
1103	7	0.20359158509224784
1103	8	0.2258013929470053
1103	9	0.3177794490717005
1103	10-14	0.31501454505204407
1103	15-19	0.22247722902915257
1103	20-24	0.19086226212898083
1103	25-29	0.246506070634247
1103	30-34	0.30313313331156166
1103	35-39	0.2610921711340808
1103	40-44	0.3130323357710765
1103	45-49	0.37939938473698476
1103	50-54	0.3967724388656819
1103	55-59	0.34699990991200025
1103	60-64	0.3355853771536488
1103	65-69	0.3562070406984432
1103	70-74	0.29279891181812445
1103	75-79	0.3202471509232083
1103	80-84	0.4278093504833791
1103	85-89	0.41041469866702585
1103	90-94	0.45847459936943835
1103	95-99	0.6191816128699728
1103	100-104	0.5122248742451347
1103	105-109	0.41724938461388916
1103	110-114	0.4793416180307375
1103	115-119	0.36841220407593767
1103	120-124	0.31119987394366433
1103	125-129	0.5706763679598978
1103	130-134	0.6691818685133484
1103	135-139	0.6791260696724848
1103	140-144	0.5333952800874897
1103	145-149	0.5280628884966632
1103	150	0.5890913094950818
1104	1	-0.03250726497761747
1104	2	0.17085106812236006
1104	3	0.3268472820724426
1104	4	0.25025965079023393
1104	5	0.0486213183424411
1104	6	0.14732884939333957
1104	7	0.184728082533816
1104	8	0.11608540510863463
1104	9	0.27043854448433535
1104	10-14	0.16050745155427393
1104	15-19	0.19528984721574716
1104	20-24	0.06194682408216323
1104	25-29	0.07739978425611582
1104	30-34	0.13361823207807788
1104	35-39	0.09337590008727403
1104	40-44	0.11194497852155649
1104	45-49	0.07053477523705709
1104	50-54	-0.06560851016741509
1104	55-59	-0.05274148001004164
1104	60-64	0.09469984845650714
1104	65-69	-0.05673324769780663
1104	70-74	0.03462069729227579
1104	75-79	-0.14330005014886638
1104	80-84	0.06179767778792211
1104	85-89	0.09318776684740726
1104	90-94	0.1370133237585236
1104	95-99	0.25283520689511363
1104	100-104	0.20459780586718068
1104	105-109	0.2454781890909743
1104	110-114	0.3234303769888882
1104	115-119	0.3005838074915559
1104	120-124	0.39451644452117307
1104	125-129	0.4944453947300147
1104	130-134	0.5183140206412986
1104	135-139	0.5478694100873867
1104	140-144	0.57194843736454
1104	145-149	0.5158636582239566
1104	150	0.5378988503554822
1105	1	0.11149243620554827
1105	2	-0.08850558955038323
1105	3	0.12228641975444532
1105	4	0.24911975511058415
1105	5	0.052441773173129036
1105	6	0.13318254662775075
1105	7	0.05623614398395915
1105	8	0.1785012763836349
1105	9	-0.07772170077905827
1105	10-14	0.0465875194829124
1105	15-19	0.025733573879193727
1105	20-24	0.06364600664868902
1105	25-29	0.0951596714005376
1105	30-34	0.20195361251387567
1105	35-39	0.17298342986466508
1105	40-44	0.15217196090822682
1105	45-49	0.125908315948962
1105	50-54	0.011741246320617904
1105	55-59	0.1108731457929295
1105	60-64	0.15965269216565758
1105	65-69	0.19000252790612393
1105	70-74	0.2641972481137529
1105	75-79	0.39954788970210586
1105	80-84	0.37179360466862477
1105	85-89	0.461839999107319
1105	90-94	0.35736563712142555
1105	95-99	0.4327586699907542
1105	100-104	0.5481785133841655
1105	105-109	0.6177343502867387
1105	110-114	0.6086368939919069
1105	115-119	0.5815155408341965
1105	120-124	0.5985697857645746
1105	125-129	0.37383967087252046
1105	130-134	0.6561828807526808
1105	135-139	0.555456022927288
1105	140-144	0.7551457158459485
1105	145-149	0.7232296117672874
1105	150	0.5209125936505359
1106	1	0.032988767045047496
1106	2	0.061554107970124505
1106	3	0.2238831844882725
1106	4	0.01744958529817353
1106	5	0.0523122782647647
1106	6	0.15722711770412445
1106	7	0.13370802545541238
1106	8	0.041369990534619205
1106	9	-0.13178877325614025
1106	10-14	0.2568978343465602
1106	15-19	0.1537185238580463
1106	20-24	0.13706183606176836
1106	25-29	0.1680141516111462
1106	30-34	0.22987761176381127
1106	35-39	0.15708625351542338
1106	40-44	0.18035147907607296
1106	45-49	0.16812276328609244
1106	50-54	0.3234860775197319
1106	55-59	0.2387912288735876
1106	60-64	0.38076751472254244
1106	65-69	0.28768611569010005
1106	70-74	0.2081417366250875
1106	75-79	0.1593525281176511
1106	80-84	-0.2853656185908662
1106	85-89	-0.33714974491777383
1106	90-94	-0.2480994422475149
1106	95-99	-0.10354806568825836
1106	100-104	-0.016262612768500162
1106	105-109	0.23283851502404218
1106	110-114	0.2586094690820815
1106	115-119	-0.005267377999565781
1106	120-124	-0.09334536454681341
1106	125-129	-0.06432305467894395
1106	130-134	-0.22655016502590541
1106	135-139	0.04600047926464157
1106	140-144	0.1630108104815733
1106	145-149	0.4431931923917176
1106	150	0.5253116512356613
1107	1	0.1343690666199926
1107	2	0.11156513097661858
1107	3	0.27305488663716915
1107	4	0.21792657600797583
1107	5	0.09883744544022477
1107	6	0.17522246974402833
1107	7	-0.08599060282061544
1107	8	0.09802093849977922
1107	9	0.24244172299750488
1107	10-14	0.24335956052166807
1107	15-19	0.19713592470413488
1107	20-24	0.15950039147634243
1107	25-29	0.1858765384899499
1107	30-34	0.2505459314130434
1107	35-39	0.28744830626596496
1107	40-44	0.2581144179587298
1107	45-49	0.3036519812731697
1107	50-54	0.3879566701283679
1107	55-59	0.37719204155490615
1107	60-64	0.39031365912315863
1107	65-69	0.4123103801863621
1107	70-74	0.4818461920192263
1107	75-79	0.5399814910107565
1107	80-84	0.5460341463202454
1107	85-89	0.5240344021676719
1107	90-94	0.556011328960949
1107	95-99	0.5529123228686146
1107	100-104	0.6256635388975553
1107	105-109	0.3270895131476337
1107	110-114	0.18587519527416418
1107	115-119	0.3371283858578593
1107	120-124	0.6045491302817538
1107	125-129	0.5965903898230778
1107	130-134	0.5836115792337964
1107	135-139	0.6050627428733719
1107	140-144	0.5844643157820784
1107	145-149	0.5688892928713756
1107	150	0.5043666389128774
1108	1	0.17595606853920742
1108	2	0.15562546391090493
1108	3	-0.2213400056083259
1108	4	0.1405031169124129
1108	5	0.1455646018012331
1108	6	0.07843544499771582
1108	7	0.22098627726175835
1108	8	0.2683713306052624
1108	9	0.24832821898144175
1108	10-14	0.29508513743559917
1108	15-19	0.2175883821538207
1108	20-24	0.2028667692894004
1108	25-29	0.26525304765831237
1108	30-34	0.3760740027184397
1108	35-39	0.33688478706374525
1108	40-44	0.4116946244393418
1108	45-49	0.4588494963860654
1108	50-54	0.4549192229321406
1108	55-59	0.40908780447005455
1108	60-64	0.4246306310124126
1108	65-69	0.4401420798449607
1108	70-74	0.347958970104429
1108	75-79	0.47162755407777723
1108	80-84	0.3164554144008278
1108	85-89	0.4827385848559942
1108	90-94	0.36297796321927933
1108	95-99	0.47342575976480816
1108	100-104	0.5258338211822249
1108	105-109	0.5691434836384559
1108	110-114	0.4543404807570752
1108	115-119	0.4103802735033639
1108	120-124	0.42893809493962465
1108	125-129	0.22936998310503753
1108	130-134	0.5106571876433676
1108	135-139	0.6758366003020555
1108	140-144	0.7317377501490725
1108	145-149	0.5327329083448475
1108	150	0.5616796380572637
1109	1	-0.11201034829365852
1109	2	0.03684715325516308
1109	3	-0.06143529776029055
1109	4	-0.08081687405935867
1109	5	-0.30439263065753863
1109	6	-0.10185219122486444
1109	7	0.07113735664000131
1109	8	-0.44476545158566694
1109	9	-0.556800917733483
1109	10-14	0.043962649021665356
1109	15-19	0.10852174877945231
1109	20-24	-0.012502515084925392
1109	25-29	-0.19773825530047162
1109	30-34	-0.344875775323473
1109	35-39	-0.19256726512520572
1109	40-44	-0.3717015823770069
1109	45-49	-0.348897494675235
1109	50-54	-0.4072498494121888
1109	55-59	-0.6053276650589083
1109	60-64	-0.523960860661937
1109	65-69	-0.7702792293613925
1109	70-74	-0.6487294345589234
1109	75-79	-0.6848983471122239
1109	80-84	-0.6913930817292737
1109	85-89	-0.5287825758684761
1109	90-94	-0.5905398231798031
1109	95-99	-0.7158173077598065
1109	100-104	-0.7711471636066989
1109	105-109	-0.2807156496059804
1109	110-114	-0.08650304865351188
1109	115-119	-0.2482727557414819
1109	120-124	0.2934204133032523
1109	125-129	-0.2806593177719421
1109	130-134	-0.3831665125254773
1109	135-139	-0.1353465582532749
1109	140-144	-0.22515334275746568
1109	145-149	-0.46448173447576124
1109	150	-0.7096905016317336
1110	1	0.02575440745063773
1110	2	0.12013659489204542
1110	3	0.3570441039410923
1110	4	0.292320882275412
1110	5	0.13102328588807666
1110	6	0.2269203912354314
1110	7	0.2145287048537341
1110	8	0.25782977074560165
1110	9	0.27173662647469143
1110	10-14	0.29816883555496076
1110	15-19	0.22085426459312885
1110	20-24	0.22714226915455527
1110	25-29	0.25271705965923985
1110	30-34	0.33628768079643123
1110	35-39	0.21516105299085808
1110	40-44	0.34840398555191854
1110	45-49	0.28309717613033314
1110	50-54	0.22095704778199377
1110	55-59	0.1520113866593107
1110	60-64	0.2314610959190091
1110	65-69	0.2713571315777301
1110	70-74	0.269330152114442
1110	75-79	0.17861501184791706
1110	80-84	0.4264397281086971
1110	85-89	0.39959065075389333
1110	90-94	0.2847475394124288
1110	95-99	0.12274813053912226
1110	100-104	0.07211276430476232
1110	105-109	0.23695266556471495
1110	110-114	0.15770300579474394
1110	115-119	0.42329604531722964
1110	120-124	0.538662726999874
1110	125-129	0.43131762704898335
1110	130-134	0.35963166282343906
1110	135-139	0.22690357777400294
1110	140-144	0.18376048691415292
1110	145-149	-0.11755636091821486
1110	150	-0.30276825612913427
1111	1	0.10334717662133741
1111	2	0.13120449232074805
1111	3	0.34959973189806703
1111	4	0.2514497885478235
1111	5	0.17209925755075517
1111	6	0.28470546223949356
1111	7	0.26453761915722396
1111	8	0.2864061579828885
1111	9	0.23581755285679407
1111	10-14	0.34120971455499216
1111	15-19	0.30473626386920927
1111	20-24	0.2870998922411303
1111	25-29	0.29358761028602487
1111	30-34	0.3399148816920672
1111	35-39	0.37429378135531266
1111	40-44	0.4290909061633883
